ESC: 0 Hall Sensors: -18350 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 10486 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -5243 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -5243 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -5243 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 28836 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -5243 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 28836 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -5243 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 28836 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 28836 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 28836 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 28836 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -5243 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 10486 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.55 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 28836 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 28836 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -5243 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.55 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 28836 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 28836 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.48 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: -5243 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.54 0.00
ESC: 0 Hall Sensors: -28836 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.50 0.00
ESC: 0 Hall Sensors: -18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: -23593 		 Accel: 9.52 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.51 0.00
ESC: 0 Hall Sensors: -5243 		 Accel: 9.53 0.00
ESC: 0 Hall Sensors: 0 		 Accel: 9.49 0.00
ESC: 0 Hall Sensors: 18350 		 Accel: 9.50 0.00
