 Hall Sensors: 713 		 Accel: -1.84 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.53
ESC: 0 Hall Sensors: 714 		 Accel: -1.83 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.57
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.52
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.57
ESC: 0 Hall Sensors: 713 		 Accel: -1.82 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.51
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.57
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.52
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.82 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.86 9.51
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.52
ESC: 0 Hall Sensors: 713 		 Accel: -1.82 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.86 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.82 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.82 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.55
ESC: 0 Hall Sensors: 714 		 Accel: -1.83 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.57
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.56
ESC: 0 Hall Sensors: 714 		 Accel: -1.84 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.52
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.82 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.56
ESC: 0 Hall Sensors: 714 		 Accel: -1.85 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.82 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.81 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.57
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.57
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.58
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.81 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.82 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.82 9.57
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.54
ESC: 0 Hall Sensors: 713 		 Accel: -1.83 9.56
